,plntname,instrument,Rp,Tp,Mp,Teff,Kmag,orbital_period,Rs,a/Rs,catalog_name,planet_name
835,Kepler-11 e,Infrared Array Camera (IRAC),0.374,636.67,0.025,5663.0,12.18,31.9996,1.06,39.55780222241207,nexsci,Kepler-11 e
837,Kepler-25 c,Kepler CCD Array,0.465,1060.9,0.0479,6354.0,9.493,12.7207,1.32,17.935636620702496,nexsci,Kepler-25 c
839,Kepler-25 c,Infrared Array Camera (IRAC),0.465,1060.9,0.0479,6354.0,9.493,12.7207,1.32,17.935636620702496,nexsci,Kepler-25 c
841,Kepler-25 b,Kepler CCD Array,0.245,1291.87,0.0275,6103.0,9.493,6.238297,1.32,11.15886565411554,nexsci,Kepler-25 b
843,Kepler-25 b,Infrared Array Camera (IRAC),0.245,1291.87,0.0275,6103.0,9.493,6.238297,1.32,11.15886565411554,nexsci,Kepler-25 b
845,Kepler-37 d,Kepler CCD Array,0.173,503.06,0.03839,5417.0,7.942,39.7922,0.77,57.9749032690983,nexsci,Kepler-37 d
847,Kepler-37 d,Infrared Array Camera (IRAC),0.173,503.06,0.03839,5417.0,7.942,39.7922,0.77,57.9749032690983,nexsci,Kepler-37 d
849,Kepler-68 b,Kepler CCD Array,0.21,1280.27,0.02407,5875.23,8.588,5.3988,1.26,10.5297492102165,nexsci,Kepler-68 b
851,Kepler-68 b,Infrared Array Camera (IRAC),0.21,1280.27,0.02407,5875.23,8.588,5.3988,1.26,10.5297492102165,nexsci,Kepler-68 b
853,Kepler-49 b,Kepler CCD Array,0.243,572.94,0.027,3974.0,12.383,7.2037945,0.53,24.055200961710884,nexsci,Kepler-49 b
855,Kepler-49 b,Infrared Array Camera (IRAC),0.243,572.94,0.027,3974.0,12.383,7.2037945,0.53,24.055200961710884,nexsci,Kepler-49 b
857,Kepler-49 c,Kepler CCD Array,0.227,498.85,0.01856,3974.0,12.383,10.9129343,0.53,31.731443198101,nexsci,Kepler-49 c
859,Kepler-49 c,Infrared Array Camera (IRAC),0.227,498.85,0.01856,3974.0,12.383,10.9129343,0.53,31.731443198101,nexsci,Kepler-49 c
861,Kepler-26 c,Kepler CCD Array,0.243,411.57,0.01951,3914.0,12.63,17.2559,0.51,45.21999744248281,nexsci,Kepler-26 c
863,Kepler-26 c,Infrared Array Camera (IRAC),0.243,411.57,0.01951,3914.0,12.63,17.2559,0.51,45.21999744248281,nexsci,Kepler-26 c
865,Kepler-125 b,Kepler CCD Array,0.211,647.96,0.0195,3810.0,11.682,4.164389,0.51,17.286898789200887,nexsci,Kepler-125 b
867,Kepler-125 b,Infrared Array Camera (IRAC),0.211,647.96,0.0195,3810.0,11.682,4.164389,0.51,17.286898789200887,nexsci,Kepler-125 b
869,Kepler-126 d,Kepler CCD Array,0.223,524.18,0.0214,6239.0,9.344,100.283134,1.36,70.8341218679451,nexsci,Kepler-126 d
871,Kepler-126 d,Infrared Array Camera (IRAC),0.223,524.18,0.0214,6239.0,9.344,100.283134,1.36,70.8341218679451,nexsci,Kepler-126 d
873,Kepler-127 d,Kepler CCD Array,0.236,648.9,0.0235,6106.0,10.234,48.630408,1.36,44.27132616746569,nexsci,Kepler-127 d
875,Kepler-127 d,Infrared Array Camera (IRAC),0.236,648.9,0.0235,6106.0,10.234,48.630408,1.36,44.27132616746569,nexsci,Kepler-127 d
877,Kepler-138 c,Kepler CCD Array,0.135,450.44,0.00724,3841.0,9.506,13.7815,0.54,36.356362616149994,nexsci,Kepler-138 c
879,Kepler-138 c,Infrared Array Camera (IRAC),0.135,450.44,0.00724,3841.0,9.506,13.7815,0.54,36.356362616149994,nexsci,Kepler-138 c
881,Kepler-158 c,Kepler CCD Array,0.17,441.6,0.0134,4623.0,12.057,28.551383,0.62,54.79851709023634,nexsci,Kepler-158 c
883,Kepler-158 c,Infrared Array Camera (IRAC),0.17,441.6,0.0134,4623.0,12.057,28.551383,0.62,54.79851709023634,nexsci,Kepler-158 c
885,Kepler-205 c,Kepler CCD Array,0.146,442.4,0.0105,4321.0,10.833,20.306546,0.55,47.69804180328511,nexsci,Kepler-205 c
887,Kepler-205 c,Infrared Array Camera (IRAC),0.146,442.4,0.0105,4321.0,10.833,20.306546,0.55,47.69804180328511,nexsci,Kepler-205 c
889,Kepler-62 e,Kepler CCD Array,0.144,290.75,0.113,4925.0,11.659,122.3874,0.64,143.46676636144352,nexsci,Kepler-62 e
891,Kepler-62 e,Infrared Array Camera (IRAC),0.144,290.75,0.113,4925.0,11.659,122.3874,0.64,143.46676636144352,nexsci,Kepler-62 e
893,Kepler-236 c,Kepler CCD Array,0.178,355.44,0.0147,3750.0,12.312,23.968127,0.51,55.655381467671155,nexsci,Kepler-236 c
895,Kepler-236 c,Infrared Array Camera (IRAC),0.178,355.44,0.0147,3750.0,12.312,23.968127,0.51,55.655381467671155,nexsci,Kepler-236 c
897,Kepler-249 d,Kepler CCD Array,0.14,382.73,0.00972,3568.0,11.966,15.368459,0.48,43.454414791756506,nexsci,Kepler-249 d
899,Kepler-249 d,Infrared Array Camera (IRAC),0.14,382.73,0.00972,3568.0,11.966,15.368459,0.48,43.454414791756506,nexsci,Kepler-249 d
901,Kepler-32 d,Kepler CCD Array,0.241,379.72,0.0244,3900.0,12.757,22.7802,0.53,52.74373629654942,nexsci,Kepler-32 d
903,Kepler-32 d,Infrared Array Camera (IRAC),0.241,379.72,0.0244,3900.0,12.757,22.7802,0.53,52.74373629654942,nexsci,Kepler-32 d
905,Kepler-61 b,Kepler CCD Array,0.192,305.89,0.0166,4017.0,12.272,59.87756,0.62,86.22442616331426,nexsci,Kepler-61 b
907,Kepler-61 b,Infrared Array Camera (IRAC),0.192,305.89,0.0166,4017.0,12.272,59.87756,0.62,86.22442616331426,nexsci,Kepler-61 b
909,WASP-17 b,GIRAFFE,1.87,1698.89,0.78,6550.0,10.224,3.73543,1.49,7.432319474518929,nexsci,WASP-17 b
915,WASP-19 b,EFOSC2,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
927,WASP-19 b,EulerCam,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
939,WASP-19 b,TRAPPISTCam,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
951,WASP-29 b,GMOS,0.77,962.34,0.23,4800.0,8.783,3.92273,0.79,12.439201916638009,nexsci,WASP-29 b
952,XO-1 b,Wide Field Camera 3,1.14,1177.42,0.83,5750.0,9.527,3.94153,0.88,11.924510450821279,nexsci,XO-1 b
954,XO-2 N b,Mont4k CCD,0.993,1335.57,0.566,5340.0,9.308,2.61586178,0.99,7.993114473410255,nexsci,XO-2 N b
959,HAT-P-1 b,DOLORES,1.319,1322.67,0.525,5980.0,8.858,4.46529976,1.17,10.220459980204405,nexsci,HAT-P-1 b
964,HAT-P-23 b,DLR-MKIII camera,1.09,1831.66,1.34,5905.0,10.791,1.21288,0.96,5.196610428704901,nexsci,HAT-P-23 b
966,HAT-P-23 b,BUSCA,1.09,1831.66,1.34,5905.0,10.791,1.21288,0.96,5.196610428704901,nexsci,HAT-P-23 b
968,WASP-19 b,FORS2,1.415,2117.46,1.154,5616.0,10.481,0.78883852,1.01,3.5171596155222247,nexsci,WASP-19 b
980,WASP-48 b,BFOSC,1.5,1933.53,0.8,5920.0,10.372,2.14363,1.58,4.687156608413709,nexsci,WASP-48 b
983,WASP-48 b,DLR-MKIII camera,1.5,1933.53,0.8,5920.0,10.372,2.14363,1.58,4.687156608413709,nexsci,WASP-48 b
986,WASP-48 b,BUSCA,1.5,1933.53,0.8,5920.0,10.372,2.14363,1.58,4.687156608413709,nexsci,WASP-48 b
989,WASP-14 b,Infrared Array Camera (IRAC),1.38,1920.6,8.84,6475.0,8.621,2.24375,1.4,5.682992685578759,nexsci,WASP-14 b
990,GJ 1214 b,LBC,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
1007,HAT-P-12 b,StanCam,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
1017,HAT-P-12 b,Multiple Instruments,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
1027,HAT-P-12 b,WiFSIP,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
1037,HAT-P-12 b,AFOSC,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
1047,HAT-P-12 b,Keplercam,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
1057,HD 189733 b,HIPO,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
1066,55 Cnc e,ALFOSC,0.167,1945.95,0.02514,5172.0,4.015,0.7365474,0.94,3.532017535694953,nexsci,55 Cnc e
1069,55 Cnc e,Infrared Array Camera (IRAC),0.167,1945.95,0.02514,5172.0,4.015,0.7365474,0.94,3.532017535694953,nexsci,55 Cnc e
1072,GJ 1214 b,FORS,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
1089,GJ 1214 b,ACAM,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
1106,WASP-45 b,GROND,0.946,1156.85,0.964,5150.0,10.294,3.126089,0.86,9.908981778167213,nexsci,WASP-45 b
1109,WASP-45 b,DFOSC,0.946,1156.85,0.964,5150.0,10.294,3.126089,0.86,9.908981778167213,nexsci,WASP-45 b
1112,WASP-45 b,EulerCam,0.946,1156.85,0.964,5150.0,10.294,3.126089,0.86,9.908981778167213,nexsci,WASP-45 b
1115,WASP-46 b,GROND,1.174,1638.8,1.91,5600.0,11.401,1.43036763,0.86,5.838373063845683,nexsci,WASP-46 b
1119,WASP-46 b,EFOSC2,1.174,1638.8,1.91,5600.0,11.401,1.43036763,0.86,5.838373063845683,nexsci,WASP-46 b
1123,WASP-46 b,DFOSC,1.174,1638.8,1.91,5600.0,11.401,1.43036763,0.86,5.838373063845683,nexsci,WASP-46 b
1127,WASP-46 b,EulerCam,1.174,1638.8,1.91,5600.0,11.401,1.43036763,0.86,5.838373063845683,nexsci,WASP-46 b
1131,WASP-57 b,EulerCam,1.05,1341.37,0.644,5600.0,11.244,2.83891856,0.93,8.714582738949398,nexsci,WASP-57 b
1135,WASP-57 b,BUSCA,1.05,1341.37,0.644,5600.0,11.244,2.83891856,0.93,8.714582738949398,nexsci,WASP-57 b
